field,query,expected,predicted
group_size,"Plan a friends trip to Rome from 2025-01-15 to 2025-01-21 staying in a resort, budget $1200, interested in history, nightlife, beaches.",5,3
group_size,"Plan a friends trip to Rome from 2025-01-15 to 2025-01-21 staying in a resort, cost $1200, interested in history, nightlife, beaches.",5,3
group_size,"Help me plan a friends trip to Rome from 2025-01-15 to 2025-01-21 staying in a resort, cost $1200, focusing on history, nightlife, beaches.",5,3
start_date,"Family vacation to Cape Town (2025-09-02–2025-09-12) with $1200 for 4 people, prefer hotel, focusing on culture, hiking, adventure.",2025-09-02,2025-11-05
end_date,"Family vacation to Cape Town (2025-09-02–2025-09-12) with $1200 for 4 people, prefer hotel, focusing on culture, hiking, adventure.",2025-09-12,2025-11-06
trip_duration,"Family vacation to Cape Town (2025-09-02–2025-09-12) with $1200 for 4 people, prefer hotel, focusing on culture, hiking, adventure.",10,2
start_date,"Family trip to Cape Town (2025-09-02–2025-09-12) with $1200 for 4 people, prefer hotel, focusing on culture, hiking, adventure.",2025-09-02,2025-11-05
end_date,"Family trip to Cape Town (2025-09-02–2025-09-12) with $1200 for 4 people, prefer hotel, focusing on culture, hiking, adventure.",2025-09-12,2025-11-06
trip_duration,"Family trip to Cape Town (2025-09-02–2025-09-12) with $1200 for 4 people, prefer hotel, focusing on culture, hiking, adventure.",10,2
start_date,"Family vacation to Cape Town (2025-09-02–2025-09-12) with $1200 for 4 people, prefer hotel, focusing on culture, hiking, adventure.",2025-09-02,2025-11-05
end_date,"Family vacation to Cape Town (2025-09-02–2025-09-12) with $1200 for 4 people, prefer hotel, focusing on culture, hiking, adventure.",2025-09-12,2025-11-06
trip_duration,"Family vacation to Cape Town (2025-09-02–2025-09-12) with $1200 for 4 people, prefer hotel, focusing on culture, hiking, adventure.",10,2
group_size,"Plan a friends trip to Bangkok from 2025-10-12 to 2025-10-21 staying in a resort, budget $1200, interested in food, adventure.",6,3
group_size,"Plan a friends trip to Bangkok from 2025-10-12 to 2025-10-21 staying in a resort, cost $1200, interested in food, adventure.",6,3
group_size,"Plan a friends trip to Bangkok from 2025-10-12 to 2025-10-21 staying in a resort, cost $1200, focusing on food, adventure.",6,3
start_date,"Looking for a 6-day solo getaway to Dubai, around $3000, staying at a Airbnb, mainly for relaxation, history, beaches.",2025-08-29,
end_date,"Looking for a 6-day solo getaway to Dubai, around $3000, staying at a Airbnb, mainly for relaxation, history, beaches.",2025-09-04,
trip_duration,"Looking for a 6-day solo getaway to Dubai, around $3000, staying at a Airbnb, mainly for relaxation, history, beaches.",6,
start_date,"Looking for a 6-day solo holiday to Dubai, about $3000, staying at a Airbnb, mainly for relaxation, history, beaches.",2025-08-29,
end_date,"Looking for a 6-day solo holiday to Dubai, about $3000, staying at a Airbnb, mainly for relaxation, history, beaches.",2025-09-04,
trip_duration,"Looking for a 6-day solo holiday to Dubai, about $3000, staying at a Airbnb, mainly for relaxation, history, beaches.",6,
start_date,"I want a 6-day solo getaway to Dubai, about $3000, booked in a Airbnb, mainly for relaxation, history, beaches.",2025-08-29,
end_date,"I want a 6-day solo getaway to Dubai, about $3000, booked in a Airbnb, mainly for relaxation, history, beaches.",2025-09-04,
trip_duration,"I want a 6-day solo getaway to Dubai, about $3000, booked in a Airbnb, mainly for relaxation, history, beaches.",6,
start_date,"Friends vacation to Paris (2025-03-28–2025-04-03) with $3000 for 5 people, prefer hotel, focusing on shopping, hiking, nightlife.",2025-03-28,2025-11-05
end_date,"Friends vacation to Paris (2025-03-28–2025-04-03) with $3000 for 5 people, prefer hotel, focusing on shopping, hiking, nightlife.",2025-04-03,2025-11-06
trip_duration,"Friends vacation to Paris (2025-03-28–2025-04-03) with $3000 for 5 people, prefer hotel, focusing on shopping, hiking, nightlife.",6,2
start_date,"Friends vacation to Paris (2025-03-28–2025-04-03) with $3000 for 5 people, prefer hotel, focusing on shopping, hiking, nightlife.",2025-03-28,2025-11-05
end_date,"Friends vacation to Paris (2025-03-28–2025-04-03) with $3000 for 5 people, prefer hotel, focusing on shopping, hiking, nightlife.",2025-04-03,2025-11-06
trip_duration,"Friends vacation to Paris (2025-03-28–2025-04-03) with $3000 for 5 people, prefer hotel, focusing on shopping, hiking, nightlife.",6,2
start_date,"Friends trip to Paris (2025-03-28–2025-04-03) with $3000 for 5 people, prefer hotel, focusing on shopping, hiking, nightlife.",2025-03-28,2025-11-05
end_date,"Friends trip to Paris (2025-03-28–2025-04-03) with $3000 for 5 people, prefer hotel, focusing on shopping, hiking, nightlife.",2025-04-03,2025-11-06
trip_duration,"Friends trip to Paris (2025-03-28–2025-04-03) with $3000 for 5 people, prefer hotel, focusing on shopping, hiking, nightlife.",6,2
group_size,"Plan a friends trip to Tokyo from 2025-03-14 to 2025-03-19 staying in a hotel, budget $3000, interested in wildlife.",6,3
group_size,"Plan a friends trip to Tokyo from 2025-03-14 to 2025-03-19 staying in a hotel, budget $3000, interested in wildlife.",6,3
group_size,"Plan a friends trip to Tokyo from 2025-03-14 to 2025-03-19 staying in a hotel, budget $3000, interested in wildlife.",6,3
start_date,"Looking for a 6-day friends getaway to Sydney, around $1200, staying at a hotel, mainly for art, photography, wildlife.",2025-10-18,
end_date,"Looking for a 6-day friends getaway to Sydney, around $1200, staying at a hotel, mainly for art, photography, wildlife.",2025-10-24,
trip_duration,"Looking for a 6-day friends getaway to Sydney, around $1200, staying at a hotel, mainly for art, photography, wildlife.",6,
start_date,"Looking for a 6-day friends holiday to Sydney, about $1200, staying at a hotel, mainly for art, photography, wildlife.",2025-10-18,
end_date,"Looking for a 6-day friends holiday to Sydney, about $1200, staying at a hotel, mainly for art, photography, wildlife.",2025-10-24,
trip_duration,"Looking for a 6-day friends holiday to Sydney, about $1200, staying at a hotel, mainly for art, photography, wildlife.",6,
start_date,"I want a 6-day friends holiday to Sydney, about $1200, staying at a hotel, mainly for art, photography, wildlife.",2025-10-18,
end_date,"I want a 6-day friends holiday to Sydney, about $1200, staying at a hotel, mainly for art, photography, wildlife.",2025-10-24,
trip_duration,"I want a 6-day friends holiday to Sydney, about $1200, staying at a hotel, mainly for art, photography, wildlife.",6,
group_size,"Plan a friends trip to Tokyo from 2025-05-29 to 2025-06-05 staying in a villa, budget $2000, interested in beaches, adventure.",5,3
group_size,"Plan a friends trip to Tokyo from 2025-05-29 to 2025-06-05 staying in a villa, budget $2000, interested in beaches, adventure.",5,3
group_size,"Help me plan a friends trip to Tokyo from 2025-05-29 to 2025-06-05 staying in a villa, cost $2000, interested in beaches, adventure.",5,3
start_date,"Friends vacation to Cape Town (2025-06-02–2025-06-10) with $1500 for 6 people, prefer hotel, focusing on nightlife, hiking, photography.",2025-06-02,2025-11-05
end_date,"Friends vacation to Cape Town (2025-06-02–2025-06-10) with $1500 for 6 people, prefer hotel, focusing on nightlife, hiking, photography.",2025-06-10,2025-11-06
